Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
countrytown_business_09,POI,POIName,,x,4 Ever Video,,,,,,,,,,,,,
countrytown_business_10,POI,POIName,,x,Bobcats Bar,,,,,,,,,,,,,
countrytown_business_11,POI,POIName,,x,Midway Clinic,,,,,,,,,,,,,
countrytown_business_12,POI,POIName,,x,Jim & Tim's Bullets and Booze,,,,,,,,,,,,,
countrytown_business_13,POI,POIName,,x,The Dead Rooster,,,,,,,,,,,,,
countrytown_business_14,POI,POIName,,x,Grumpy's Pub,,,,,,,,,,,,,
countrytown_business_15,POI,POIName,,x,Uncle Ray's Supermarket,,,,,,,,,,,,,
countrytown_business_16,POI,POIName,,x,Crazy Billy's Used Cars,,,,,,,,,,,,,
countrytown_business_17,POI,POIName,,x,Glove Affair Boxing Gym,,,,,,,,,,,,,
countrytown_business_18,POI,POIName,,x,Atomic Bodega,,,,,,,,,,,,,
countrytown_church_01,POI,POIName,,x,Mission Refuge,,,,,,,,,,,,,
countrytown_church_05,POI,POIName,,x,Saint Christine Mission,,,,,,,,,,,,,
countrytown_fire_01,POI,POIName,,x,Navezgane Community Fire Dept,,,,,,,,,,,,,
countrytown_fire_02,POI,POIName,,x,Navezgane Fire District #5,,,,,,,,,,,,,
countrytown_postoffice_01,POI,POIName,,x,Post Office #3,,,,,,,,,,,,,
courthouse_med_01,POI,POIName,,x,Town Hall,,,,,,,,,,,,,
departure_city_blk_01,POI,POIName,,x,Departure,,,,,,,,,,,,,
departure_city_blk_plaza,POI,POIName,,x,Departure Plaza,,,,,,,,,,,,,
diersville_city_blk_01,POI,POIName,,x,Diersville,,,,,,,,,,,,,
diersville_city_blk_02,POI,POIName,,x,Diersville,,,,,,,,,,,,,
diersville_city_sign_01,POI,POIName,,x,Diersville,,,,,,,,,,,,,
diner_01,POI,POIName,,x,The Greasy Spoon,,,,,,,,,,,,,
diner_02,POI,POIName,,x,Bob's Cafe,,,,,,,,,,,,,
diner_03,POI,POIName,,x,Del's Cafe,,,,,,,,,,,,,
diner_04,POI,POIName,,x,Dick's Diner,,,,,,,,,,,,,
diner_07,POI,POIName,,x,Navezgane Falls Diner,,,,,,,,,,,,,
docks_01,POI,POIName,,x,BJ's Gas Dock,,,,,,,,,,,,,
docks_02,POI,POIName,,x,Pal's Marina,,,,,,,,,,,,,
docks_03,POI,POIName,,x,Haulwell Freight,,,,,,,,,,,,,
docks_04,POI,POIName,,x,Middleman Docks,,,,,,,,,,,,,
docks_05,POI,POIName,,x,Live Bait Dock,,,,,,,,,,,,,
downtown_building_01,POI,POIName,,x,Buy-N-Go Apartments,,,,,,,,,,,,,
downtown_building_02,POI,POIName,,x,Pergola Apartments,,,,,,,,,,,,,
downtown_building_03,POI,POIName,,x,Stand Tower,,,,,,,,,,,,,
downtown_building_04,POI,POIName,,x,Blaze & Burns Offices,,,,,,,,,,,,,
downtown_building_05,POI,POIName,,x,Bombshell News,,,,,,,,,,,,,
downtown_business_06,POI,POIName,,x,Special Totz,,,,,,,,,,,,,
downtown_business_07,POI,POIName,,x,Doggos,,,,,,,,,,,,,
downtown_filler_01,POI,POIName,,x,Lazy Fitness,,,,,,,,,,,,,
downtown_filler_02,POI,POIName,,x,Le Spank,,,,,,,,,,,,,
downtown_filler_03,POI,POIName,,x,Schittz Law,,,,,,,,,,,,,
downtown_filler_05,POI,POIName,,x,Trilogy Suites,,,,,,,,,,,,,
downtown_filler_06,POI,POIName,,x,Downtown Apartments,,,,,,,,,,,,,
downtown_filler_07,POI,POIName,,x,Dumpsy Clinic,,,,,,,,,,,,,
downtown_filler_09,POI,POIName,,x,Century Outlet,,,,,,,,,,,,,
downtown_filler_11,POI,POIName,,x,Fit Box,,,,,,,,,,,,,
downtown_filler_12,POI,POIName,,x,Town Square Apartments,,,,,,,,,,,,,
downtown_filler_13,POI,POIName,,x,Luigi's Pizza,,,,,,,,,,,,,
downtown_filler_14,POI,POIName,,x,Post Office Apartment,,,,,,,,,,,,,
downtown_filler_15,POI,POIName,,x,Downtown Shamway,,,,,,,,,,,,,
downtown_filler_22,POI,POIName,,x,Gonuts Donuts,,,,,,,,,,,,,
downtown_filler_23,POI,POIName,,x,HNN Bank,,,,,,,,,,,,,
downtown_filler_24,POI,POIName,,x,Ann Hoing's Telemarketing,,,,,,,,,,,,,
downtown_filler_25,POI,POIName,,x,Mamma Pizza,,,,,,,,,,,,,
downtown_filler_26,POI,POIName,,x,Hooligan's Corner,,,,,,,,,,,,,
downtown_filler_27,POI,POIName,,x,OK Laundry,,,,,,,,,,,,,
downtown_filler_30,POI,POIName,,x,KLZ Radio,,,,,,,,,,,,,
downtown_filler_31,POI,POIName,,x,Downtown MeltDowns,,,,,,,,,,,,,
downtown_filler_park_01,POI,POIName,,x,Loan Tree Park,,,,,,,,,,,,,
downtown_filler_park_02,POI,POIName,,x,Gazebo Park,,,,,,,,,,,,,
downtown_filler_park_03,POI,POIName,,x,Crosswalk Park,,,,,,,,,,,,,
downtown_filler_park_04,POI,POIName,,x,Detour Park,,,,,,,,,,,,,
downtown_filler_park_05,POI,POIName,,x,Arch Park,,,,,,,,,,,,,
downtown_filler_plaza_01,POI,POIName,,x,Obelisk Plaza,,,,,,,,,,,,,
downtown_filler_plaza_02,POI,POIName,,x,Square Water Plaza,,,,,,,,,,,,,
downtown_filler_plaza_03,POI,POIName,,x,Step Water Plaza,,,,,,,,,,,,,
downtown_filler_plaza_04,POI,POIName,,x,Garden Plaza,,,,,,,,,,,,,
downtown_filler_plaza_05,POI,POIName,,x,Memorial Plaza,,,,,,,,,,,,,
downtown_park_01,POI,POIName,,x,Shady Pointe Park,,,,,,,,,,,,,
downtown_park_02,POI,POIName,,x,Federal Plaza,,,,,,,,,,,,,
downtown_park_03,POI,POIName,,x,Civic Square,,,,,,,,,,,,,
downtown_parking_lot_01,POI,POIName,,x,Downtown Evacuation Point,,,,,,,,,,,,,
downtown_strip_01,POI,POIName,,x,Flushing Rule Palace,,,,,,,,,,,,,
downtown_strip_02,POI,POIName,,x,Richard Munchz Plaza,,,,,,,,,,,,,
downtown_strip_03,POI,POIName,,x,Pete's Outlet,,,,,,,,,,,,,
downtown_strip_04,POI,POIName,,x,Joe's Junction,,,,,,,,,,,,,
downtown_strip_05,POI,POIName,,x,Downtown Marketplace,,,,,,,,,,,,,
downtown_strip_07,POI,POIName,,x,Heart's Rent-a-Car,,,,,,,,,,,,,
downtown_strip_09,POI,POIName,,x,Pop's Pawn & Bel's Bakery,,,,,,,,,,,,,
downtown_strip_10,POI,POIName,,x,The Boobie Trap,,,,,,,,,,,,,
downtown_strip_11,POI,POIName,,x,Diamond's Mens Club,,,,,,,,,,,,,
downtown_strip_12,POI,POIName,,x,NFD Downtown HQ,,,,,,,,,,,,,
factory_01,POI,POIName,,x,Shamway Factory,,,,,,,,,,,,,
factory_02,POI,POIName,,x,Shotgun Messiah Factory,,,,,,,,,,,,,
factory_03,POI,POIName,,x,Pop-N-Pills Factory,,,,,,,,,,,,,
farm_01,POI,POIName,,x,Jericho Ranch,,,,,,,,,,,,,
farm_02,POI,POIName,,x,Scarecrow Fields,,,,,,,,,,,,,
farm_03,POI,POIName,,x,Huenink Family Farms,,,,,,,,,,,,,
farm_04,POI,POIName,,x,Animal Hospital,,,,,,,,,,,,,
farm_05,POI,POIName,,x,Fiery Farms,,,,,,,,,,,,,
farm_06,POI,POIName,,x,Fortified Farm,,,,,,,,,,,,,
farm_07,POI,POIName,,x,The Shady Swine,,,,,,,,,,,,,
farm_08,POI,POIName,,x,Sweet Sweet Honey Pot Farms,,,,,,,,,,,,,
farm_10,POI,POIName,,x,Red Barn Bed-n-Bath,,,,,,,,,,,,,
farm_11,POI,POIName,,x,Smithstone Silos,,,,,,,,,,,,,
farm_12,POI,POIName,,x,Abandoned Shady Shed Farms,,,,,,,,,,,,,
farm_13,POI,POIName,,x,Mason Farms,,,,,,,,,,,,,
farm_14,POI,POIName,,x,Hersh Farm,,,,,,,,,,,,,
farm_15,POI,POIName,,x,Hogzilla Ranch LLC,,,,,,,,,,,,,
farm_16,POI,POIName,,x,Judie Witch,,,,,,,,,,,,,
farm_17,POI,POIName,,x,McPherson UFO Museum,,,,,,,,,,,,,
farm_18,POI,POIName,,x,McOivey Farms,,,,,,,,,,,,,
farm_20,POI,POIName,,x,Sprout & Sons Nursery,,,,,,,,,,,,,
fastfood_01,POI,POIName,,x,Prowlin Petes,,,,,,,,,,,,,
fastfood_02,POI,POIName,,x,Hurry Harry's,,,,,,,,,,,,,
fastfood_03,POI,POIName,,x,Blue Birdie,,,,,,,,,,,,,
fastfood_04,POI,POIName,,x,Fats Foods,,,,,,,,,,,,,
fastfood_05,POI,POIName,,x,Beavers Restaurant,,,,,,,,,,,,,
fastfood_06,POI,POIName,,x,The Burgcaneer,,,,,,,,,,,,,
fastfood_07,POI,POIName,,x,NEW Mamma Pizza,,,,,,,,,,,,,
field_concert_01,POI,POIName,,x,Shady Woods Amphitheatre,,,,,,,,,,,,,
fire_station_01,POI,POIName,,x,Fire Station 7,,,,,,,,,,,,,
fire_station_02,POI,POIName,,x,Fire Station 8,,,,,,,,,,,,,
fire_station_03,POI,POIName,,x,Navezgane Fire District #3,,,,,,,,,,,,,
fire_station_04,POI,POIName,,x,NFD Engine 4,,,,,,,,,,,,,
football_stadium,POI,POIName,,x,Navezgane Athletics Complex,,,,,,,,,,,,,
funeral_home_01,POI,POIName,,x,Am-I-Gone Funeral Home,,,,,,,,,,,,,
gas_station_01,POI,POIName,,x,Pass-N-Gas Store #01,,,,,,,,,,,,,
gas_station_02,POI,POIName,,x,Pass-N-Gas Store #02,,,,,,,,,,,,,
gas_station_03,POI,POIName,,x,Pass-N-Gas Store #03,,,,,,,,,,,,,
gas_station_04,POI,POIName,,x,Pass-N-Gas Store #04,,,,,,,,,,,,,
gas_station_05,POI,POIName,,x,Pass-N-Gas Store #05,,,,,,,,,,,,,
gas_station_06,POI,POIName,,x,Pass-N-Gas Store #06,,,,,,,,,,,,,
gas_station_07,POI,POIName,,x,Pass-N-Gas Store #07,,,,,,,,,,,,,
gas_station_08,POI,POIName,,x,Pass-N-Gas Store #08,,,,,,,,,,,,,
gas_station_09,POI,POIName,,x,Pass-N-Gas Store #09,,,,,,,,,,,,,
gas_station_10,POI,POIName,,x,Pass-N-Gas Store #10,,,,,,,,,,,,,
gas_station_11,POI,POIName,,x,Jerry's Fill,,,,,,,,,,,,,
gas_station_12,POI,POIName,,x,Pass-N-Gas Plaza,,,,,,,,,,,,,
gravestowne_city_blk_01,POI,POIName,,x,Gravestowne,,,,,,,,,,,,,
gravestowne_city_blk_half,POI,POIName,,x,Gravestowne,,,,,,,,,,,,,
gravestowne_city_blk_quarter,POI,POIName,,x,Gravestowne,,,,,,,,,,,,,
gravestowne_city_sign_01,POI,POIName,,x,Gravestowne,,,,,,,,,,,,,
gravestowne_street_crater_01,POI,POIName,,x,Gravestowne,,,,,,,,,,,,,
hospital_01,POI,POIName,,x,Navezgane General Hospital,,,,,,,,,,,,,
hotel_01,POI,POIName,,x,Hotel Zombona,,,,,,,,,,,,,
hotel_02,POI,POIName,,x,Haven Hotel,,,,,,,,,,,,,
hotel_03,POI,POIName,,x,7 Days Suites,,,,,,,,,,,,,
hotel_04,POI,POIName,,x,Calm Inn,,,,,,,,,,,,,
hotel_new_01,POI,POIName,,x,Sandy Springs Hotel,,,,,,,,,,,,,
hotel_ostrich,POI,POIName,,x,Ostrich Hotel,,,,,,,,,,,,,
house_burnt_01,POI,POIName,,x,The Owens Residence,,,,,,,,,,,,,
house_burnt_02,POI,POIName,,x,The Paciotti Residence,,,,,,,,,,,,,
house_burnt_03,POI,POIName,,x,The Jacobs Residence,,,,,,,,,,,,,
house_burnt_04,POI,POIName,,x,The Rendon Residence,,,,,,,,,,,,,
house_burnt_05,POI,POIName,,x,The Byington Residence,,,,,,,,,,,,,
house_burnt_06,POI,POIName,,x,Seedy Manor,,,,,,,,,,,,,
house_construction_01,POI,POIName,,x,The Roland Residence,,,,,,,,,,,,,
house_construction_02,POI,POIName,,x,Kodiak Construction,,,,,,,,,,,,,
house_construction_03,POI,POIName,,x,Garage 1st Construction,,,,,,,,,,,,,
house_construction_04,POI,POIName,,x,Deracinated Domicile,,,,,,,,,,,,,
house_construction_05,POI,POIName,,x,OLD - Uninhabited Mansion,,,,,,,,,,,,,
house_country_01,POI,POIName,,x,Wango Barndo,,,,,,,,,,,,,
house_modern_01,POI,POIName,,x,The Nairn Residence,,,,,,,,,,,,,
house_modern_02,POI,POIName,,x,The Nightstar Residence,,,,,,,,,,,,,
house_modern_03,POI,POIName,,x,The Draycott Residence,,,,,,,,,,,,,
house_modern_04,POI,POIName,,x,The Erickson Residence,,,,,,,,,,,,,
house_modern_05,POI,POIName,,x,The Señor Drogas Residence,,,,,,,,,,,,,
house_modern_06,POI,POIName,,x,The Barniskis Residence,,,,,,,,,,,,,
house_modern_07,POI,POIName,,x,The LaGrega Residence,,,,,,,,,,,,,
house_modern_08,POI,POIName,,x,The Contino Residence,,,,,,,,,,,,,
house_modern_09,POI,POIName,,x,The Rua Residence,,,,,,,,,,,,,
house_modern_10,POI,POIName,,x,Bullis-Bates Estate,,,,,,,,,,,,,
house_modern_11,POI,POIName,,x,The Strogatz Residence,,,,,,,,,,,,,
house_modern_12,POI,POIName,,x,The Eisele Residence,,,,,,,,,,,,,
house_modern_13,POI,POIName,,x,The Hinton Residence,,,,,,,,,,,,,
house_modern_14,POI,POIName,,x,The Bennett Residence,,,,,,,,,,,,,
house_modern_15,POI,POIName,,x,The Burnett Residence,,,,,,,,,,,,,
house_modern_16,POI,POIName,,x,The Haug Residence,,,,,,,,,,,,,
house_modern_17,POI,POIName,,x,The Sinkhole House,,,,,,,,,,,,,
house_modern_18,POI,POIName,,x,Don Vittorio Spagetto Residence,,,,,,,,,,,,,
house_modern_19,POI,POIName,,x,"The ""Broken Dreams"" house",,,,,,,,,,,,,
house_modern_20,POI,POIName,,x,The Barbosa Residence,,,,,,,,,,,,,
house_modern_21,POI,POIName,,x,The Hellenes Residence,,,,,,,,,,,,,
house_modern_22,POI,POIName,,x,The Johansen Residence,,,,,,,,,,,,,
house_modern_23,POI,POIName,,x,Dormer Residence,,,,,,,,,,,,,
house_modern_24,POI,POIName,,x,Jeffelon Zuckergates Estate,,,,,,,,,,,,,
house_modern_25,POI,POIName,,x,Rosilyn Residence,,,,,,,,,,,,,
house_modern_26,POI,POIName,,x,Casa de Machina,,,,,,,,,,,,,
house_modern_27,POI,POIName,,x,Phoenix Residence,,,,,,,,,,,,,
house_modern_28,POI,POIName,,x,Casa De Vino,,,,,,,,,,,,,
house_modern_29,POI,POIName,,x,Don Diego Estate,,,,,,,,,,,,,
house_modern_30,POI,POIName,,x,Towersley Estate,,,,,,,,,,,,,
house_modern_31,POI,POIName,,x,Dr. Karen Higashi Residence,,,,,,,,,,,,,
house_old_bungalow_01,POI,POIName,,x,The Vaecon Residence,,,,,,,,,,,,,
house_old_bungalow_02,POI,POIName,,x,T. Thornbury Residence,,,,,,,,,,,,,
house_old_bungalow_03,POI,POIName,,x,Home of Jack Canada,,,,,,,,,,,,,
house_old_bungalow_04,POI,POIName,,x,The Wotton Residence,,,,,,,,,,,,,
house_old_bungalow_05,POI,POIName,,x,The Klemm Residence,,,,,,,,,,,,,
house_old_bungalow_06,POI,POIName,,x,A Sewage Problem,,,,,,,,,,,,,
house_old_bungalow_07,POI,POIName,,x,Film Fanatic's house,,,,,,,,,,,,,
house_old_bungalow_08,POI,POIName,,x,The McKean Residence,,,,,,,,,,,,,
house_old_bungalow_09,POI,POIName,,x,The Powell Residence,,,,,,,,,,,,,
house_old_bungalow_10,POI,POIName,,x,The Crow Residence,,,,,,,,,,,,,
house_old_bungalow_11,POI,POIName,,x,Johnnytown,,,,,,,,,,,,,
house_old_bungalow_12,POI,POIName,,x,The Reber Residence,,,,,,,,,,,,,
house_old_cottage_01,POI,POIName,,x,Cobweb Cottage,,,,,,,,,,,,,
house_old_gambrel_01,POI,POIName,,x,The Hestnes Residence,,,,,,,,,,,,,
house_old_gambrel_02,POI,POIName,,x,The Richmond Residence,,,,,,,,,,,,,
house_old_gambrel_03,POI,POIName,,x,Bob's Boars & Carl's Corn,,,,,,,,,,,,,
house_old_gambrel_04,POI,POIName,,x,Bert Englund Residence,,,,,,,,,,,,,
house_old_mansard_01,POI,POIName,,x,The Brown Residence,,,,,,,,,,,,,
house_old_mansard_02,POI,POIName,,x,The Mortician's house,,,,,,,,,,,,,
house_old_mansard_03,POI,POIName,,x,The Brett Residence,,,,,,,,,,,,,
house_old_mansard_04,POI,POIName,,x,The Hyde Residence,,,,,,,,,,,,,
house_old_mansard_05,POI,POIName,,x,Huskie Manor,,,,,,,,,,,,,
house_old_mansard_06,POI,POIName,,x,The Fates Motel,,,,,,,,,,,,,
house_old_mansard_07,POI,POIName,,x,The Wright Residence,,,,,,,,,,,,,
house_old_modular_01,POI,POIName,,x,The Purser Residence,,,,,,,,,,,,,
house_old_modular_02,POI,POIName,,x,Bill Gearz Place,,,,,,,,,,,,,
house_old_modular_03,POI,POIName,,x,The Animal Hoarder,,,,,,,,,,,,,
house_old_modular_04,POI,POIName,,x,The Wagner Residence,,,,,,,,,,,,,
house_old_modular_05,POI,POIName,,x,The Gilbert Residence,,,,,,,,,,,,,
house_old_modular_06,POI,POIName,,x,The Cook's Residence,,,,,,,,,,,,,
house_old_modular_07,POI,POIName,,x,Spark's Place,,,,,,,,,,,,,
house_old_modular_08,POI,POIName,,x,The Pawtato Residence,,,,,,,,,,,,,
house_old_pyramid_01,POI,POIName,,x,The D. Smith Residence,,,,,,,,,,,,,
house_old_pyramid_02,POI,POIName,,x,The McElveen Residence,,,,,,,,,,,,,
house_old_pyramid_03,POI,POIName,,x,The Cartel House,,,,,,,,,,,,,
house_old_pyramid_04,POI,POIName,,x,The Gully Residence,,,,,,,,,,,,,
house_old_pyramid_05,POI,POIName,,x,The Reed Residence,,,,,,,,,,,,,
house_old_ranch_01,POI,POIName,,x,The Wetz Residence,,,,,,,,,,,,,
house_old_ranch_02,POI,POIName,,x,The Redchurch Residence,,,,,,,,,,,,,
house_old_ranch_03,POI,POIName,,x,The Goldsmith Residence,,,,,,,,,,,,,
house_old_ranch_04,POI,POIName,,x,The Jensen Residence,,,,,,,,,,,,,
house_old_ranch_05,POI,POIName,,x,The McMillin Residence,,,,,,,,,,,,,
house_old_ranch_06,POI,POIName,,x,The Huenink Residence,,,,,,,,,,,,,
house_old_ranch_07,POI,POIName,,x,The Brumit Residence,,,,,,,,,,,,,
house_old_ranch_08,POI,POIName,,x,The Fermier Residence,,,,,,,,,,,,,
house_old_ranch_09,POI,POIName,,x,The McCormick Residence,,,,,,,,,,,,,
house_old_ranch_10,POI,POIName,,x,The Malone Residence,,,,,,,,,,,,,
house_old_ranch_11,POI,POIName,,x,The Hoarders' House,,,,,,,,,,,,,
house_old_ranch_12,POI,POIName,,x,The McStab Residence,,,,,,,,,,,,,
house_old_ranch_13,POI,POIName,,x,The Serrano Residence,,,,,,,,,,,,,
house_old_spanish_01,POI,POIName,,x,The Serrano Residence,,,,,,,,,,,,,
house_old_tudor_01,POI,POIName,,x,The Asgård Residence,,,,,,,,,,,,,
house_old_tudor_02,POI,POIName,,x,The Williams Residence,,,,,,,,,,,,,
house_old_tudor_03,POI,POIName,,x,The Zeigler Residence,,,,,,,,,,,,,
house_old_tudor_04,POI,POIName,,x,R. Thornbury Residence,,,,,,,,,,,,,
house_old_tudor_05,POI,POIName,,x,The McLemore Residence,,,,,,,,,,,,,
house_old_tudor_06,POI,POIName,,x,The Rippon Residence,,,,,,,,,,,,,
house_old_victorian_01,POI,POIName,,x,Taylor Manor,,,,,,,,,,,,,
house_old_victorian_02,POI,POIName,,x,The Lopez Residence,,,,,,,,,,,,,
house_old_victorian_03,POI,POIName,,x,The Zavislak Residence,,,,,,,,,,,,,
house_old_victorian_04,POI,POIName,,x,The Neckarski Residence,,,,,,,,,,,,,
house_old_victorian_05,POI,POIName,,x,The Perkel Residence,,,,,,,,,,,,,
house_old_victorian_06,POI,POIName,,x,The Sandvik Residence,,,,,,,,,,,,,
house_old_victorian_07,POI,POIName,,x,The Schweizer Residence,,,,,,,,,,,,,
house_old_victorian_08,POI,POIName,,x,The Kenvyn Residence,,,,,,,,,,,,,
house_old_victorian_09,POI,POIName,,x,The Grand Forks Estate,,,,,,,,,,,,,
house_old_victorian_10,POI,POIName,,x,The Curren Residence,,,,,,,,,,,,,
house_old_victorian_11,POI,POIName,,x,The Philippe Residence,,,,,,,,,,,,,
house_old_victorian_12,POI,POIName,,x,The Kostecky Residence,,,,,,,,,,,,,
house_ultramodern_01,POI,POIName,,x,Architect Dayson's House,,,,,,,,,,,,,
house_ultramodern_02,POI,POIName,,x,The Collector's Manor,,,,,,,,,,,,,
house_ultramodern_05,POI,POIName,,x,Edgeview Estate,,,,,,,,,,,,,
house_ultramodern_06,POI,POIName,,x,Samuel David Residence,,,,,,,,,,,,,
house_ultramodern_09,POI,POIName,,x,Solaris Loft,,,,,,,,,,,,,
house_ultramodern_10,POI,POIName,,x,Chef Horden Clancy's Residence,,,,,,,,,,,,,
house_ultramodern_11,POI,POIName,,x,The Last Party House,,,,,,,,,,,,,
house_ultramodern_12,POI,POIName,,x,Almeida Residence,,,,,,,,,,,,,
house_ultramodern_13,POI,POIName,,x,Pantelli Residence,,,,,,,,,,,,,
house_ultramodern_14,POI,POIName,,x,The Parkins-Jordaan Residence,,,,,,,,,,,,,
house_ultramodern_15,POI,POIName,,x,Uninhabited Mansion,,,,,,,,,,,,,
house_ultramodern_16,POI,POIName,,x,OLD Dr. Karen Higashi Residence,,,,,,,,,,,,,
house_ultramodern_19,POI,POIName,,x,Mayor's Home,,,,,,,,,,,,,
housing_development_01,POI,POIName,,x,Housing Development,,,,,,,,,,,,,
indian_burial_grounds_01,POI,POIName,,x,Taza Burial Grounds,,,,,,,,,,,,,
industrial_60_01,POI,POIName,,x,Granddaddy’s Cable Regional Service Center,,,,,,,,,,,,,
industrial_business_08,POI,POIName,,x,P&B Machining,,,,,,,,,,,,,
industrial_strip_05,POI,POIName,,x,Pewrina Factory,,,,,,,,,,,,,
industrial_strip_06,POI,POIName,,x,Water Treatment Plant,,,,,,,,,,,,,
industrial_strip_09,POI,POIName,,x,Soyer Family Slaughterhouse,,,,,,,,,,,,,
industrial_strip_10,POI,POIName,,x,Booze Hound Brewery,,,,,,,,,,,,,
industrial_strip_11,POI,POIName,,x,Regional Paper Company,,,,,,,,,,,,,
installation_red_mesa,POI,POIName,,x,Red Mesa Compound,,,,,,,,,,,,,
junkyard_01,POI,POIName,,x,Ecotrash Recycling Center,,,,,,,,,,,,,
lodge_01,POI,POIName,,x,Journey's End,,,,,,,,,,,,,
lot_country_01,POI,POIName,,x,Black Bus Mechanical,,,,,,,,,,,,,
lot_country_02,POI,POIName,,x,Shade Tree Auto,,,,,,,,,,,,,
lot_country_03,POI,POIName,,x,GW Lumber Yard,,,,,,,,,,,,,
